CustomerID,Recency,Frequency,Monetary,Cluster
12346,326,1,77183.6,3
12347,3,7,4310.0,0
12348,76,4,1797.24,0
12349,19,1,1757.55,0
12350,311,1,334.4,1
12352,37,8,2506.04,0
12353,205,1,89.0,1
12354,233,1,1079.4,1
12355,215,1,459.4,1
12356,23,3,2811.43,0
12357,34,1,6207.67,0
12358,2,2,1168.06,0
12359,58,4,6372.58,0
12360,53,3,2662.06,0
12361,288,1,189.9,1
12362,4,10,5226.23,0
12363,110,2,552.0,0
12364,8,4,1313.1,0
12365,292,2,641.38,1
12367,5,1,168.9,0
12370,52,4,3545.69,0
12371,45,2,1887.96,0
12372,72,3,1298.04,0
12373,312,1,364.6,1
12374,26,1,742.93,0
12375,11,2,457.5,0
12377,316,2,1628.12,1
12378,130,1,4008.62,0
12379,82,2,852.24,0
12380,22,4,2724.81,0
12381,5,5,1845.31,0
12383,185,5,1850.56,1
12384,29,2,585.27,0
12386,338,2,401.9,1
12388,16,6,2780.66,0
12390,80,1,549.84,0
12391,22,1,460.89,0
12393,73,4,1582.6,0
12394,64,2,1272.48,0
12395,20,12,3018.63,0
12397,36,2,2409.9,0
12398,46,1,1635.6599999999999,0
12399,120,4,1108.65,0
12401,304,1,84.3,1
12402,324,1,225.6,1
12403,50,1,427.7,0
12405,149,1,1710.3899999999999,1
12406,23,2,3415.2999999999997,0
12407,50,5,1708.12,0
12408,33,5,2888.55,0
12409,79,3,11072.67,0
12410,309,2,693.33,1
12412,75,3,1226.8799999999999,0
12413,67,3,758.1,0
12414,218,3,562.41,1
12415,25,21,124914.53,2
12417,4,9,3649.1,0
12418,113,1,668.58,0
12420,64,1,600.39,0
12421,16,4,807.04,0
12422,96,3,803.56,0
12423,1,8,1859.31,0
12424,163,2,1760.96,1
12425,79,1,777.2,0
12426,195,1,582.73,1
12427,22,3,825.8000000000001,0
12428,26,9,7956.46,0
12429,10,4,3750.4,0
12430,44,1,256.4,0
12431,36,15,6487.45,3
12432,43,5,5059.32,0
12433,1,7,13375.87,0
12434,85,2,806.14,0
12435,80,2,7829.889999999999,0
12436,100,1,509.01,0
12437,2,18,4951.41,3
12438,15,2,2906.85,0
12441,367,1,173.55,1
12442,4,1,172.06,0
12444,22,5,5005.46,0
12445,23,1,133.4,0
12446,58,1,1002.31,0
12447,244,1,476.49,1
12448,45,1,449.45,0
12449,23,4,4067.29,0
12450,157,2,197.88,1
12451,11,5,9035.52,0
12452,17,2,430.57,0
12453,135,1,707.09,0
12454,57,1,3528.34,0
12455,74,6,2466.86,0
12456,45,3,3181.04,0
12457,67,7,2363.23,0
12458,72,2,947.4,0
12461,95,2,826.88,0
12462,19,2,1189.59,0
12463,54,4,1344.78,0
12464,11,8,1212.05,0
12465,18,2,742.1899999999999,0
12468,188,2,729.54,1
12471,3,30,19824.05,3
12472,33,7,6572.11,0
12473,30,5,3938.55,0
12474,18,18,7375.79,3
12475,54,1,723.38,0
12476,16,11,6816.42,0
12477,23,6,13219.74,0
12478,4,1,680.99,0
12479,12,1,527.2,0
12480,29,4,3281.63,0
12481,23,10,5596.32,0
12483,18,8,2484.98,0
12484,33,6,4541.72,0
12488,10,3,1298.66,0
12489,337,1,334.93,1
12490,6,10,5417.93,0
12491,39,1,460.4,0
12492,64,2,263.21,0
